,Age_x,G_x,MP_x,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS_x,WS/48_x,Pos,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,OBPM,DBPM,BPM,VORP,Share
7,23,80,28.9,8.8,3.3,2.7,1.1,0.1,0.403,0.361,0.699,3.5,0.072,SG,11.2,0.517,0.497,0.195,1.7,11.6,6.8,16.2,2.1,0.3,14.8,16.6,0.5,2.9,-0.6,0.8,0.2,1.3,0.003
8,23,61,22.6,7.6,4.9,1.0,0.6,0.1,0.487,0.333,0.752,3.1,0.108,PF,14.0,0.548,0.025,0.42,9.3,16.9,13.2,6.8,1.3,0.3,11.6,15.9,1.9,1.2,-1.1,-0.8,-1.9,0.1,0.002
0,22,57,35.4,16.8,4.4,4.0,1.2,0.2,0.456,0.377,0.838,4.8,0.114,SG,18.0,0.548,0.191,0.315,3.5,12.1,7.7,20.9,1.8,0.4,11.8,23.0,3.8,1.0,2.8,-0.7,2.1,2.1,0.997
1,21,65,25.1,11.6,3.9,0.8,0.5,0.8,0.427,0.373,0.824,1.9,0.057,PF,12.8,0.546,0.429,0.227,3.7,14.8,9.2,5.1,1.0,2.5,13.5,22.6,0.2,1.7,-1.1,-0.7,-1.7,0.1,0.413
2,20,78,27.0,10.8,4.5,1.3,0.9,0.9,0.422,0.364,0.727,0.5,0.011,SF,12.4,0.497,0.188,0.275,5.3,14.5,9.9,8.0,1.7,2.7,14.1,21.3,-0.5,1.0,-2.2,-0.3,-2.5,-0.3,0.145
3,22,78,29.8,11.8,2.9,2.1,0.4,0.1,0.376,0.337,0.71,-1.5,-0.03,PF,7.9,0.45,0.273,0.179,2.7,9.2,5.9,11.9,0.6,0.2,11.3,22.4,-2.2,0.8,-3.0,-2.5,-5.5,-2.0,0.069
4,23,82,22.9,10.1,2.7,2.8,0.6,0.3,0.434,0.368,0.854,2.3,0.058,PG,14.0,0.536,0.268,0.278,3.2,10.5,6.9,20.9,1.5,0.9,16.4,22.9,1.0,1.3,-0.3,-1.3,-1.6,0.2,0.058
5,21,82,18.0,6.8,5.2,0.8,0.8,0.9,0.525,0.333,0.673,4.7,0.153,PF,17.6,0.571,0.008,0.523,15.1,19.8,17.5,6.7,2.4,4.2,16.1,17.8,2.4,2.3,0.3,2.6,2.9,1.8,0.03
6,21,63,22.1,9.0,5.0,0.4,0.3,1.2,0.503,0.0,0.722,3.4,0.118,C,17.1,0.533,0.004,0.24,12.6,15.3,13.9,3.2,0.9,4.2,7.5,19.3,2.5,1.0,-0.3,-0.6,-0.9,0.4,0.028
7,29,67,28.5,8.5,4.9,1.9,1.2,0.2,0.42,0.342,0.731,3.0,0.074,PF,12.1,0.503,0.365,0.147,2.9,17.5,10.2,10.1,2.1,0.6,10.2,15.2,0.6,2.4,-0.8,1.7,0.8,1.4,0.027
8,20,72,13.4,5.2,3.7,0.6,0.6,1.1,0.475,0.0,0.606,2.2,0.11,PF,14.8,0.521,0.007,0.621,10.6,21.1,15.9,6.6,2.4,6.2,20.8,20.9,-0.4,2.6,-4.4,4.5,0.1,0.5,0.016
9,27,48,19.5,9.2,2.9,0.5,0.4,0.1,0.527,0.461,0.774,2.4,0.125,PF,16.1,0.625,0.348,0.161,3.4,14.5,8.8,5.0,0.9,0.6,8.3,18.7,1.8,0.6,1.1,-2.4,-1.3,0.2,0.008
10,23,82,18.7,7.4,5.1,0.6,0.6,0.2,0.531,0.0,0.624,3.9,0.121,PF,15.7,0.558,0.013,0.402,11.9,20.3,16.2,5.4,1.8,0.9,12.0,18.7,2.1,1.7,-1.0,-0.6,-1.7,0.1,0.006
11,20,78,23.5,6.4,3.7,3.8,1.6,0.1,0.418,0.207,0.647,2.4,0.064,PG,13.1,0.472,0.064,0.409,4.7,14.6,9.5,26.3,3.6,0.3,20.5,16.5,-0.1,2.6,-1.5,2.0,0.4,1.1,0.005
0,19,80,34.6,20.3,4.4,2.4,1.0,0.9,0.43,0.288,0.873,2.3,0.04,SG,15.8,0.519,0.15,0.328,2.8,10.9,6.9,12.0,1.4,1.9,12.9,28.1,0.4,1.9,-0.6,-0.7,-1.4,0.4,0.872
1,21,81,31.4,10.1,9.7,1.5,0.7,0.9,0.499,0.0,0.731,5.5,0.103,C,14.7,0.539,0.007,0.317,11.4,24.5,18.0,7.9,1.2,2.2,15.3,16.0,2.4,3.0,-1.3,1.1,-0.2,1.2,0.624
2,27,82,24.7,10.3,6.4,1.3,0.7,0.2,0.515,0.0,0.668,6.5,0.154,PF,16.1,0.548,0.004,0.351,9.9,19.3,14.6,8.9,1.6,0.7,12.0,19.8,2.8,3.7,-0.9,1.4,0.4,1.3,0.234
3,24,79,27.3,12.7,4.5,1.2,0.6,0.5,0.429,0.331,0.743,1.1,0.025,PF,12.7,0.504,0.149,0.331,5.2,14.0,9.6,8.4,1.1,1.5,11.4,24.1,-0.5,1.6,-2.5,-1.3,-3.8,-1.0,0.048
4,27,78,27.8,8.5,6.2,1.2,1.0,1.4,0.485,0.328,0.741,5.7,0.126,SF,15.0,0.54,0.212,0.148,5.0,21.6,13.2,6.2,2.0,4.0,7.7,14.4,2.1,3.6,-0.8,3.5,2.8,2.6,0.011
5,27,82,25.8,10.9,2.6,2.2,0.6,0.0,0.402,0.361,0.849,1.4,0.031,SG,11.9,0.54,0.564,0.191,1.8,9.4,5.6,13.3,1.1,0.0,13.9,20.2,1.0,0.4,0.4,-2.7,-2.3,-0.1,0.005
6,19,74,21.0,8.2,4.2,0.8,1.0,0.1,0.539,0.316,0.738,4.5,0.14,PF,16.5,0.57,0.039,0.21,9.1,14.8,11.9,6.2,2.5,0.4,10.7,17.4,2.6,2.0,0.3,0.3,0.6,1.0,0.003
7,20,53,26.1,9.4,2.6,4.2,0.8,0.0,0.428,0.33,0.732,1.1,0.038,PG,12.6,0.502,0.206,0.278,1.7,9.7,5.6,25.3,1.6,0.1,15.2,18.8,0.6,0.5,-1.1,-1.8,-3.0,-0.3,0.002
