,Age_x,G_x,MP_x,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS_x,WS/48_x,Pos,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,OBPM,DBPM,BPM,VORP,Share
18,24,82,27.1,8.8,3.1,1.7,0.6,0.4,0.465,0.434,0.735,4.3,0.092,SG,10.9,0.576,0.426,0.168,3.1,9.9,6.5,9.3,1.0,1.0,10.5,14.0,2.8,1.4,0.8,-0.5,0.3,1.3,0.002
19,29,81,25.9,8.8,5.5,1.7,0.7,0.4,0.487,0.319,0.74,5.9,0.135,SF,13.6,0.576,0.372,0.262,6.1,18.0,12.3,10.1,1.5,1.1,15.3,16.2,2.5,3.4,0.5,2.2,2.7,2.5,0.002
20,30,77,30.6,9.1,9.3,0.6,0.3,2.1,0.562,0.0,0.62,6.7,0.137,C,16.1,0.588,0.002,0.499,13.5,21.5,17.5,2.8,0.6,5.1,14.2,13.5,3.7,3.0,-1.0,1.8,0.7,1.6,0.002
21,30,77,30.6,9.1,9.3,0.6,0.3,2.1,0.562,0.0,0.62,6.7,0.137,C,16.2,0.591,0.0,0.472,14.1,22.2,18.1,1.7,0.6,4.8,14.2,13.2,2.6,1.9,-1.0,1.2,0.2,0.9,0.002
22,30,77,30.6,9.1,9.3,0.6,0.3,2.1,0.562,0.0,0.62,6.7,0.137,C,16.1,0.582,0.006,0.558,12.2,19.9,16.1,5.0,0.6,5.8,14.1,14.0,1.1,1.1,-1.1,3.0,1.9,0.7,0.002
23,26,81,37.3,20.2,11.7,3.6,1.0,0.5,0.545,0.0,0.812,10.3,0.163,C,22.2,0.584,0.006,0.262,8.4,27.6,17.9,17.5,1.4,1.0,11.9,23.8,7.4,2.9,1.9,1.0,2.9,3.7,0.002
24,32,58,34.2,11.5,9.4,1.9,1.2,1.1,0.456,0.276,0.557,3.3,0.079,PF,13.4,0.481,0.047,0.269,8.3,23.3,15.8,8.5,1.8,2.3,11.6,17.5,0.4,2.8,-2.0,2.2,0.2,1.1,0.002
25,23,73,25.6,6.2,5.5,1.1,0.8,0.5,0.48,0.353,0.699,4.7,0.122,PF,11.8,0.53,0.046,0.36,9.9,14.6,12.2,6.5,1.7,1.6,14.1,12.1,1.8,3.0,-1.6,2.9,1.4,1.6,0.002
26,25,78,27.6,10.1,7.6,1.0,0.3,1.7,0.602,0.0,0.582,5.2,0.117,C,15.0,0.613,0.006,0.536,9.1,24.4,16.9,6.0,0.6,4.8,20.4,17.6,1.4,3.8,-2.5,2.7,0.2,1.2,0.002
27,35,69,28.6,5.5,8.7,1.5,1.2,1.2,0.541,0.0,0.406,4.7,0.115,C,15.8,0.526,0.007,0.548,14.1,23.1,18.3,8.0,2.4,3.6,15.0,10.0,2.4,2.3,-0.1,3.9,3.9,2.9,0.002
0,25,78,37.6,22.9,14.1,1.4,1.4,2.4,0.593,0.0,0.596,14.4,0.235,C,26.1,0.616,0.007,0.877,12.6,30.6,21.8,6.8,1.9,4.9,16.2,27.2,6.7,7.7,0.9,3.9,4.8,5.0,0.975
1,34,71,31.3,14.9,8.9,2.4,1.3,0.8,0.528,0.2,0.862,9.0,0.194,PF,20.6,0.575,0.006,0.264,4.9,28.7,17.5,13.5,2.3,2.0,11.1,22.3,3.4,5.6,0.0,4.1,4.0,3.4,0.128
